family,sciname,common,Description from https://biogeodb.stri.si.edu/caribbean/en/pages,Compressed? (from description)
Chaetodontidae,Chaetodon ocellatus,Spotfin butterflyfish,"Chaetodon ocellatus Bloch, 1787

Spotfin butterflyfish

Body a strongly compressed oval disc; mouth small, at end of a short, pointed snout; cheek bone free and smooth; teeth long and slender, in bands of 6-9 rows on each jaw; dorsal fin XII-XIII (front spines not elongated), 18-20; anal fin III, 16-17, 2nd anal spine longer than 3rd; rear edges of dorsal and anal fins bluntly angular; tail edge rounded; scales rough, covering dorsal and anal fins as well as head and body; lateral line in a high arch, incomplete (ends under dorsal fin), with 33-39 scales; with a large ""axillary process"" scale at the upper base of the pelvic fins.

Adult: Head and body white; a black bar from nape to chest through eye; tail base and dorsal, tail, anal and pelvic fins yellow; a black spot at top rear corner of soft dorsal. Juvenile: similar to adult  but with the addition of a black bar from dorsal to base of soft anal.

Reaches 20 cm.

Lives on reefs; juveniles in seagrass beds.

Depth range: 0-91 m.

New England to Brazil.",strongly compressed oval disc
Chaetodontidae,Chaetodon striatus,Banded butterflyfish,"Chaetodon striatus Linnaeus, 1758

Banded butterflyfish

Body a strongly compressed oval disc; mouth small, at end of a short, pointed snout; cheek bone free and smooth; teeth long and slender, in bands of 9-10 rows on each jaw; dorsal rays XII (front spines not elongated), 19-20; anal rays III, 16-17, 2nd anal spine longer than 3rd; rear edges of dorsal and anal fins bluntly angular; tail edge rounded; scales rough, covering dorsal and anal fins as well as head and body; lateral line in a high arch, incomplete (ends under dorsal fin), with 37-42 scales; with a large ""axillary process"" scale at the upper base of the pelvic fins.

Adult: Silvery white with thin black chevron lines on body; 4 prominent black bars, one through eye to nape, one at level of pectoral fin, one at the level of the front of the soft dorsal and anal, and one from soft dorsal across tail base to anal fin base; a broad black stripe along soft dorsal and anal; a broad black bar near outer part of tail fin. Juvenile: similar to adult but with a large ocellus on soft dorsal fin, and no bar on the tail fin.

Size: attains 20 cm.

Habitat: a common species on reefs, juveniles common in seagrass beds.

Depth: 0-109 m.

North Carolina to Brazil.",strongly compressed oval disc
Diodontidae,Diodon holocanthus,Balloonfish,"Diodon holocanthus Linnaeus, 1758

Long-spine balloonfish

Body a robust oval, inflatable; head wide and blunt; a pair of small barbels on chin; eyes large; nasal organ a flat short tentacle with 2 openings; teeth fused into a strong, parrot-like beak with two plates that lack a front groove, large, opens widely at front; gill opening a vertical slit before pectoral base; pectorals large; fins without spines; no pelvic fins; dorsal fin 13-14; anal fin rays 13-14; pectoral rays 22-25; body and head covered with numerous long (> eye), erectible, 2-rooted, slender, round spines; 12-16 spines in an approximate row from top of snout to dorsal fin; 12-15 spines between lower jaw and anus; anterior middle spines on top of head longer than longest spines posterior to pectoral fins; no spines on tail base.

Light olive to pale brown, shading to white ventrally; small black spots on upper two-thirds of head and body; a brown bar from above to below eye; a broad brown bar across occipital region through eye, and another across middle of back; a large oval brown blotch above each pectoral fin and another around dorsal-fin base; fins pale, without spots.

Size: attains 60 cm.

Inhabits reefs and open sand-rubble bottoms.

Depth: 0-104 m.

Circumtropical distribution; Maine to S Brazil.",robust oval
Diodontidae,Diodon hystrix,Porcupinefish,"Diodon hystrix Linnaeus, 1758

Spot-fin porcupinefish

Body robust, inflatable; head wide and blunt; no barbells on chin; eyes large; nasal organ a flat short tentacle with 2 openings; teeth fused into a strong, parrot-like beak with two plates that lack a front groove, large, opens widely at front; gill opening a vertical slit before pectoral base; pectorals large; fins without spines; no pelvic fins; dorsal fin 15-17; anal rays 14-16; dorsal and anal fins rounded; pectoral rays 22-25 (rarely 21); body and head covered with numerous long (> eye), erectible, 2-rooted, slender, round spines; 16-20 erectile spines in an approximate row from top of snout to dorsal fin; 14-19 spines between lower jaw and anus; spines anteriorly at front of head shorter than longest spines posterior to pectoral fins; 1-2 small spines dorsally on tail base.

Light grey brown dorsally shading to white ventrally; upper body and dorsal, anal and tail fins with small black spots; body without large dark blotches.

Maximum length: 91 cm.

Adults inhabits coral or rocky reefs, juveniles occur in estuaries.

Depth: 1-137 m.

Circumtropical distribution; Maine to Brazil.",robust
Haemulidae,Anisotremus surinamensis,Black margate,"Anisotremus surinamensis (Bloch, 1791)

Black margate

Body deep, compressed, back high; head short, blunt; rear margin of bone under eye concealed by scales; mouth small, low, ~ horizontal, lips fleshy; inside mouth not red; teeth in bands on jaws, outer ones larger, conical, none on center roof of mouth; a pair of conspicuous pores plus a central groove under the chin; 16-18 lower gill rakers; preopercle finely serrated; dorsal continuous but deeply notched, 4th spine longest, XII-XIII, 16-18; anal with III strong spines, 2nd very large, 8-10 soft rays; tail forked; scales moderate to large, rough, over entire body and head except front of snout, lips and chin, none on membranes between dorsal and anal soft rays; lateral-line scales 50-53; 5-7 scale rows between lateral line and base of first dorsal spine.

Body pale grey; front half of body with a broad dark bar from above lateral line to bottom of belly; scales on back with a dark central spot; fins blackish; juvenile with a black mid-lateral stripe, a black stripe along upper back, dusky fins, a dark spot on upper body scales, an indistinct broad dark bar under spinous dorsal to belly, and large black spot on base of tail fin.

Size: to 76 cm.

Habitat: coral reefs and other hard bottoms.

Depth: 0-109 m.

Florida to Brazil.",compressed
Haemulidae,Haemulon album,Margate,"Haemulon album Cuvier in Cuvier & Valenciennes, 1830

Margate grunt

Body oblong, compressed; body depth ~39% of SL; head deep, blunt, its upper profile convex on nape then straight to mouth; eye small; rear margin of bone under eye concealed by scales; mouth small to moderate, lips not fleshy; underside of chin with 2 large pores and a central groove; preoperculum finely serrated, without spines; gill rakers 21-23; dorsal fin continuous, with small to moderate notch in middle, XII, 16-17; anal rays III, 7-8, 2nd and 3rd spines similar; tail forked; soft dorsal and anal densely scaled nearly to the edge of the fin; scales rough; scales over entire body and head except front of snout, lips and chin; pectoral fin scaled on base only; lateral-line scales 49-52; scale rows below lateral line oblique to body axis.

Pearly grey to pale olive-green; iris white; inside mouth red; membranes of spiny dorsal white; soft dorsal, anal and tail dusky; black blotch under free margin of preopercle faint or absent.

Size: attains 79 cm.

Habitat: on reefs, hard bottom and nearby soft bottoms.

Depth: 1-60 m.

North Carolina to Brazil.",compressed
Haemulidae,Haemulon carbonarium,Caesar grunt,"Haemulon carbonarium Poey, 1860

Caesar grunt

Body oblong, compressed; body depth 36-39% of SL; head deep, blunt, its upper profile convex on nape then straight to mouth; rear margin of bone under eye concealed by scales; mouth small to moderate, lips not fleshy; underside of chin with 2 large pores and a central groove; preoperculum finely serrated, without spines; gill rakers 23-25; dorsal fin continuous, with small to moderate notch in middle, XII, 15-16; anal rays III, 8, 2nd and 3rd spines similar; tail forked; soft dorsal and anal densely scaled nearly to the edge of the fin; scales rough; scales over entire body and head except front of snout, lips and chin; pectoral fin scaled on base only; lateral-line scales 49-50; scale rows below lateral line ~horizontal to body axis; scales above and below lateral line about same size.

Adult: silvery grey, dusky to black on belly; head steel blue; head and body with ~10 thin coppery stripes; dorsal fin black with bronze on membranes between spines and on base of soft part; tail and anal fins black, the tail pale at rear, the anal bronze at rear; paired fins blackish; inside mouth red. Juvenile: 3 dark stripes: 1 from snout above eye to end of dorsal fin base, 1 from top of eye back along front ½ of lateral line (this often bronze, and lengthening with age), 1 from snout through eye along mid-side to near tail fin; a large, horizontal oval or cuadrangular black spot on tail fin base.

Size: attains 40 cm.

Habitat: on reefs and hard bottoms.

Depth: 2-52 m.

Bermuda to the southern Caribbean",compressed
Haemulidae,Haemulon flavolineatum,French grunt,"Haemulon flavolineatum (Desmarest, 1823)

French grunt

Body oblong, compressed; body depth 34-38% of SL; head bluntly pointed, its upper profile slightly convex; rear margin of bone under eye concealed by scales; mouth small to moderate, lips not fleshy; underside of chin with 2 large pores and a central groove; preoperculum finely serrated, without spines; gill rakers 22-24; dorsal fin continuous, with small to moderate notch in middle, XII, 15 (14-16); anal rays III, 8, 2nd and 3rd spines similar; tail forked; soft dorsal and anal densely scaled nearly to the edge of the fin; scales rough; scales over entire body and head except front of snout, lips and chin; pectoral fin scaled on base only; lateral-line scales 48-49; scale rows below lateral line oblique to body axis; scales below front of lateral line ~twice size of those above line.

Adult: silvery grey; head and body with ~12 dense yellow stripes, those below lateral line oblique; all fins yellow; inside mouth red. Juvenile: 3 brown stripes: 1 from snout through eye to tail base, ending in a double brown spot on tail fin base; 1 from top of eye back to end of operculum; 1 from above eye along top of back; indistinct oblique brown lines on mid body.

Size: attains 30 cm.

Habitat: on reefs and hard bottoms; seagrass beds.

Depth: 0-89 m.

Bermuda to the southern Caribbean.",compressed
Haemulidae,Haemulon sciurus,Bluestriped grunt,"Haemulon sciurus (Shaw, 1803)

Bluestriped grunt

Body oblong, compressed; body depth 36-39% of SL; head blunt, its upper profile slightly convex; rear margin of bone under eye concealed by scales; mouth small to moderate, lips not fleshy; underside of chin with 2 large pores and a central groove; preoperculum finely serrated, without spines; gill rakers 27-31; dorsal fin continuous, with small to moderate notch in middle, rays XII, 16-17; anal rays III, 9, 2nd and 3rd spines similar; tail forked; soft dorsal and anal densely scaled nearly to the edge of the fin; scales rough; scales over entire body and head except front of snout, lips and chin; pectoral fin scaled on base only; lateral-line scales 48-51; scale rows below lateral line oblique to body axis.

Adult: yellow, with dense blue stripes; soft dorsal and tail fins dark, with yellow borders; pectoral, pelvic and anal fins yellow; inside mouth red. Juvenile: 3 black stripes: 1 from above eye along top of back and upper tail base; 1 thin stripe from top of eye back along lateral line of front half of body; 1 from snout through eye to tail base; an elongate black spot on base of tail fin a little below level of the lower stripe; lower body with horizontal yellow stripes.

Reaches 46 cm.

Habitat: on reefs, seagrass beds and mangroves; juveniles in seagrass beds.

Depth: 0-40 m.

S Carolina to  the southern Caribbean.",compressed
Holocentridae,Holocentrus adscensionis,Squirrelfish,"Holocentrus adscensionis (Osbeck, 1765)

Squirrelfish

Body oblong, slender, compressed; head pointed; eyes large; bones on head serrated and spiny; mouth large, at front; lower gill rakers 15-18; preopercle with an angular corner bearing a large, long spine; a large spine at top corner of operculum; XI dorsal spines, 14-16 rays, no gap after last spine, front soft rays elongated; anal fin III-IV, 10; pelvics I, 7; tail base long and slender; tail fin deeply forked, with pointed tips, upper lobe distinctly longer than lower lobe; body scales very spiny;47-49 (45-51) pored lateral line scales.

Upper head and body pink, sometimes a white blotch on rear back; lower parts, and tail base white; spiny dorsal yellowish, without white blotches behind spine tips; soft dorsal, tail, anal, pelvic and pectoral fins pinkish white.

Reaches 45 cm.

Reef habitats.

Depth range: 1-240 m.

Both sides of the Atlantic and the central Atlantic; Chesapeake Bay to Brazil.",compressed
Holocentridae,Holocentrus rufus,Longspine squirrelfish,"Holocentrus rufus (Walbaum, 1792)

Longspine squirrelfish

Body oblong, slender, compressed; head pointed; eyes large; bones on head serrated and spiny; mouth large, at front; lower gill rakers 15-18; preopercle with an angular corner bearing a large, long spine; a large spine at top corner of operculum; XI dorsal spines, 14-16 rays, no gap after last spine, front soft rays elongated; anal fin III-IV, 10; pelvics I, 7; tail base long and slender; tail fin deeply forked, with pointed tips, upper lobe distinctly longer than lower lobe; body scales very spiny; 51-54 (50-57) pored lateral line scales.

Head and body red; tail base and tail fin yellowish white; spiny dorsal reddish, with a prominent white triangular blotch behind each spine tip; soft dorsal, anal, pelvic and pectoral fins reddish.

Reaches 44 cm.

Reef habitats.

Depth range: 1-330 m.

N Carolina to the S Caribbean.",compressed
Kyphosidae,Kyphosus sectatrix,Bermuda chub,"Kyphosus sectatrix (Linnaeus, 1766)

Bermuda seachub

Body oval, compressed; small pointed head; snout relatively short, profile pointed or beaked, no distinct hump on forehead; bottom profile of head slightly convex; mouth small, horizontal and opens at the front; the top jawbone slips partially under the under-eye bone when the mouth is closed; teeth immovable incisiform, bases set horizontally in mouth, rounded tips and a curved, hockey-stick shape; teeth on center of roof of mouth and on tongue; gill rakers 26 (23-38; 6-9+15-20); dorsal fin continuous, XI spines that fold down into a scaly groove, 12 (11-12) rays; tail fin forked; anal rays III, 11 (10-12); soft dorsal and anal fins moderately high, 4th dorsal ray 4.8-10% SL, 2nd anal ray 8.5-15.2% SL, front profile of anal fin angular; pectoral fin 13.3-24.1% SL; pelvic fins relatively short (11.8-19% SL),  origin of the pelvics behind the base of the pectoral fin; scales small, thick and rough, covering the body & head (except forward of eyes) and soft portions of the median fins; scales present between eyes; lateral line scales 63-81, 56 (50-62) with pores, longitudinal scales 62 (54-69) (the row from edge of operculum to end of tail base, immediately under the lateral line scale row).

Usually grey to silvery, back with bronze and green tones; sometimes faint golden stripes along  side of body and on face, under and over eye; fins not dark; often a whitish stripe under eye; occasionally fish, particularly at oceanic islands, can be white, or yellow, with white or black irregular blotches. This is the only species of Kyphosus with such a pale color form.  Young grey, sometimes with numerous eye-sized white spots.

Size: attains 76 cm.

Habitat: rocky areas, coral reefs.

Depth: 0-93 m.

Pan-tropical; from New England to Brazil in the W Atlantic.  

Note: K. lutescens is a synonym. Known elsewhere as the Beaked seachub or Pacific seachub, or Revillagigedo seachub.",compressed
Labridae,Bodianus rufus,Spanish hogfish,"Bodianus rufus (Linnaeus, 1758)

Spanish hogfish

Body robust, compressed; snout pointed; mouth protrusible, opens at front, thick lips; rear of top jawbone not visible on cheek; toothed grinding plates in throat; a canine tooth at rear of top jaw, strong canines at front of both jaws; gill rakers 17-19; gill membranes fused under throat; dorsal fin XII, 9-11, not obviously notched between spiny and soft parts; anal fin III, 12; lateral line unbroken, smoothly arched; scales large, 29-31 with pores on lateral line.

Juvenile: head and front half of body and front half of dorsal fin blue to dark blue-grey; rest of body and fins yellow; a black blotch at front of dorsal fin.  Adult: upper ½ of rear of head, upper 1/3 of  body and front ¾ of dorsal fin blue-grey to purple to deep red; rest of head, body, tail base and tail fin yellow.

Reaches 50 cm.

Coral reefs.

Depth range: 1-100 m.

N Carolina to Brazil.",compressed
Labridae,Halichoeres radiatus,Puddingwife,"Halichoeres radiatus (Linnaeus, 1758)

Puddingwife

Elongate, compressed; mouth protrusible, opens at front, thick lips; rear of top jawbone not visible on cheek; toothed grinding plates in throat; enlarged canine teeth at front of both jaws (1 pair above, 2 pairs below), a canine at rear of top jaws; gill rakers 21-23; gill membranes fused under throat; dorsal fin IX, 11, not obviously notched between spiny and soft parts; anal fin III, 12; lateral line unbroken, but abruptly bent down under rear of dorsal fin, its tubes branched, except those on tail base, with 26-29 pored scales.

Juvenile: Orange-yellow; a blue-grey stripe from under eye to end of tail base, 5 blue-grey bars on body above that stripe; a large black and grey ocellus on dorsal fin at junction of spines and rays, extends onto upper body; an ocellus on end of upper tail base; larger fish yellow-brown; blue-grey lines radiating from eye, a blue-grey stripe from mouth; body scales with oval blue-grey spots; 2 large black elongate blotches on rear of upper back, front blotch with white bars on either side. Initial phase: orange-brown head and body with a blue-grey overlay; scales with blue-grey spots; 5 white blotches along upper back between nape and end of tail base; fins yellow-brown with blue lines and spots. Terminal phase: brownish with strong blue-grey cast; head with many blue lines radiating from eye; scales with blue spots; several whitish saddles along back and sometimes a diffuse white bar from top to bottom of body just behind pectoral fin; fins with many blue lines and spots.

Reaches 51 cm.

Lives on reefs.

Depth range: 1-55 m.

N Carolina to Brazil. It also has a brazilian sister species, H. brasiliensis.",compressed
Lutjanidae,Lutjanus analis,Mutton snapper,"Lutjanus analis (Cuvier in Cuvier & Valenciennes, 1828)

Mutton snapper

Body relatively deep, compressed; front and rear nostrils simple holes; mouth relatively large, top jaw moderately protrusible, slips under cheek bone for most of its length when mouth is closed; one or more rows of pointed conical teeth on jaws, with large canines among outer teeth; patch of teeth on center of roof of mouth V shaped; sides of roof of mouth with 1 pair of tooth patches; 12-13 lower gill rakers; preopercle serrated, lower margin weakly notched; dorsal continuous, often with slight notch behind spiny part, usually X (rarely XI), 14 (occasionally 13); anal III, 8 (rarely 7), fin tip angular in large fish (rounded in fish <4 cm SL), middle rays elongated; tail edge concave to moderately forked; lateral line scales 47-51; body, cheek and operculum scaly; snout, below eye and both jaws scale-less; membranes of soft dorsal and anal fins scaly.

Back and upper sides olive, lower parts whitish with red tinge; upper body of resting fish may have series of narrow pale bars; iris red; a small dark spot just above lateral line below front part of soft dorsal, smaller in larger fish; blue lines and spots below, before and behind eye; fins reddish, especially anal, lower part of tail and plevics; rear edge of tail narrowly black. Juvenile: the lateral line passes through the lower 1/2 of the black flank spot, which is larger than in adults; body has rows of bluish spots.

Reaches  94 cm; 15.6 kg.

Vegetated and sand bottoms, mangroves, around the edges of reefs.

Depth range: 1-170 m.

New England to SE Brazil.",compressed
